# live verification 2026-09-23 23:47-23:52 UTC (>6 min after apply at 23:40 UTC): GET from_path without following redirects, then GET the Location; per UA
# /start: Googlebot got a one-off 502 in the batch; re-checked 3x at 23:53 UTC -> 301 / -> 200 (both UAs)
from_path,expected_to,googlebot_hop1,googlebot_location,googlebot_final,chrome_hop1,chrome_location,chrome_final,ok
/study/effect-of-hydrogen-water-drinking-on-dementia-patient-through-mechanism-of-oxidative-stress-and-immune-redox-balance,/study/effect-of-hydrogen-water-drinking-on-dementia-patient-through-mechanism-of-oxidative-stress-and-immune-redox-balance-1775650467137,301,/study/effect-of-hydrogen-water-drinking-on-dementia-patient-through-mechanism-of-oxidative-stress-and-immune-redox-balance-1775650467137,200,301,/study/effect-of-hydrogen-water-drinking-on-dementia-patient-through-mechanism-of-oxidative-stress-and-immune-redox-balance-1775650467137,200,yes
/study/effects-of-hydrogen-rich-water-and-ascorbic-acid-treatment-on-spontaneously-hypertensive-rats,/study/effects-of-hydrogen-rich-water-and-ascorbic-acid-treatment-on-spontaneously-hypertensive-rats-1775650467166,301,/study/effects-of-hydrogen-rich-water-and-ascorbic-acid-treatment-on-spontaneously-hypertensive-rats-1775650467166,200,301,/study/effects-of-hydrogen-rich-water-and-ascorbic-acid-treatment-on-spontaneously-hypertensive-rats-1775650467166,200,yes
/study/hydrogen-attenuates-thyroid-hormone-induced-cardiac-hypertrophy-in-rats-by-regulating-angiotensin-ii-type-1-receptor-and-nadph-oxidase-2-mediated-oxidative-stress,/study/hydrogen-attenuates-thyroid-hormone-induced-cardiac-hypertrophy-in-rats-by-regulating-angiotensin-ii-type-1-receptor-and-nadph-oxidase-2-mediated-oxidative-stress-1775650467166,301,/study/hydrogen-attenuates-thyroid-hormone-induced-cardiac-hypertrophy-in-rats-by-regulating-angiotensin-ii-type-1-receptor-and-nadph-oxidase-2-mediated-oxidative-stress-1775650467166,200,301,/study/hydrogen-attenuates-thyroid-hormone-induced-cardiac-hypertrophy-in-rats-by-regulating-angiotensin-ii-type-1-receptor-and-nadph-oxidase-2-mediated-oxidative-stress-1775650467166,200,yes
/study/hydrogen-h-2-alleviates-osteoarthritis-by-inhibiting-apoptosis-and-inflammation-via-the-jnk-signaling-pathway,/study/hydrogen-h-2-alleviates-osteoarthritis-by-inhibiting-apoptosis-and-inflammation-via-the-jnk-signaling-pathway-1775650467133,301,/study/hydrogen-h-2-alleviates-osteoarthritis-by-inhibiting-apoptosis-and-inflammation-via-the-jnk-signaling-pathway-1775650467133,200,301,/study/hydrogen-h-2-alleviates-osteoarthritis-by-inhibiting-apoptosis-and-inflammation-via-the-jnk-signaling-pathway-1775650467133,200,yes
/study/hydrogen-regulates-mitochondrial-quality-to-protect-glial-cells-and-alleviates-sepsis-associated-encephalopathy-by-nrf2-yy1-complex-promoting-ho-1-expression,/study/hydrogen-regulates-mitochondrial-quality-to-protect-glial-cells-and-alleviates-sepsis-associated-encephalopathy-by-nrf2yy1-complex-promoting-ho-1-expression-1775650467169,301,/study/hydrogen-regulates-mitochondrial-quality-to-protect-glial-cells-and-alleviates-sepsis-associated-encephalopathy-by-nrf2yy1-complex-promoting-ho-1-expression-1775650467169,200,301,/study/hydrogen-regulates-mitochondrial-quality-to-protect-glial-cells-and-alleviates-sepsis-associated-encephalopathy-by-nrf2yy1-complex-promoting-ho-1-expression-1775650467169,200,yes
/study/hydrogen-rich-saline-improves-non%e2%80%91alcoholic-fatty-liver-disease-by-alleviating-oxidative-stress-and-activating-hepatic-ppar%ce%b1-and-ppar%ce%b3,/study/hydrogen-rich-saline-improves-nonalcoholic-fatty-liver-disease-by-alleviating-oxidative-stress-and-activating-hepatic-ppara-and-pparg-1775650467146,301,/study/hydrogen-rich-saline-improves-nonalcoholic-fatty-liver-disease-by-alleviating-oxidative-stress-and-activating-hepatic-ppara-and-pparg-1775650467146,200,301,/study/hydrogen-rich-saline-improves-nonalcoholic-fatty-liver-disease-by-alleviating-oxidative-stress-and-activating-hepatic-ppara-and-pparg-1775650467146,200,yes
/study/hydrogen-rich-water-ameliorates-metabolic-disorder-via-modifying-gut-microbiota-in-impaired-fasting-glucose-patients-a-randomized-controlled-study,/study/hydrogen-rich-water-ameliorates-metabolic-disorder-via-modifying-gut-microbiota-in-impaired-fasting-glucose-patients-a-randomized-controlled-study-1775650467170,301,/study/hydrogen-rich-water-ameliorates-metabolic-disorder-via-modifying-gut-microbiota-in-impaired-fasting-glucose-patients-a-randomized-controlled-study-1775650467170,200,301,/study/hydrogen-rich-water-ameliorates-metabolic-disorder-via-modifying-gut-microbiota-in-impaired-fasting-glucose-patients-a-randomized-controlled-study-1775650467170,200,yes
/study/hydrogen-rich-water-and-caffeine-for-alertness-and-brain-metabolism-in-sleep-deprived-habitual-coffee-drinkers,/study/hydrogen-rich-water-and-caffeine-for-alertness-and-brain-metabolism-in-sleep-deprived-habitual-coffee-drinkers-1775650467164,301,/study/hydrogen-rich-water-and-caffeine-for-alertness-and-brain-metabolism-in-sleep-deprived-habitual-coffee-drinkers-1775650467164,200,301,/study/hydrogen-rich-water-and-caffeine-for-alertness-and-brain-metabolism-in-sleep-deprived-habitual-coffee-drinkers-1775650467164,200,yes
/study/hydrogen-rich-water-consumption-positively-affects-muscle-performance-lactate-response-and-alleviates-delayed-onset-of-muscle-soreness-after-resistance-training,/study/hydrogen-rich-water-consumption-positively-affects-muscle-performance-lactate-response-and-alleviates-delayed-onset-of-muscle-soreness-after-resistance-training-1775650467133,301,/study/hydrogen-rich-water-consumption-positively-affects-muscle-performance-lactate-response-and-alleviates-delayed-onset-of-muscle-soreness-after-resistance-training-1775650467133,200,301,/study/hydrogen-rich-water-consumption-positively-affects-muscle-performance-lactate-response-and-alleviates-delayed-onset-of-muscle-soreness-after-resistance-training-1775650467133,200,yes
/study/hydrogen-rich-water-for-improvements-of-mood-anxiety-and-autonomic-nerve-function-in-daily-life,/study/hydrogen-rich-water-for-improvements-of-mood-anxiety-and-autonomic-nerve-function-in-daily-life-1775650467142,301,/study/hydrogen-rich-water-for-improvements-of-mood-anxiety-and-autonomic-nerve-function-in-daily-life-1775650467142,200,301,/study/hydrogen-rich-water-for-improvements-of-mood-anxiety-and-autonomic-nerve-function-in-daily-life-1775650467142,200,yes
